Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Proportion of second cancers attributable to radiotherapy treatment in adults: a cohort study in the US SEER cancer registries.,"Berrington de Gonzalez, Amy; Curtis, Rochelle E; Kry, Stephen F; Gilbert, Ethel; Lamart, Stephanie; Berg, Christine D; Stovall, Marilyn; Ron, Elaine","BACKGROUND: Improvements in cancer survival have made the long-term risks from treatments more important, including the risk of developing a second cancer after radiotherapy. We aimed to estimate the proportion of second cancers attributable to radiotherapy in adults with data from the US Surveillance, Epidemiology and End Results (SEER) cancer registries., METHODS: We used nine of the SEER registries to systematically analyse 15 cancer sites that are routinely treated with radiotherapy (oral and pharynx, salivary gland, rectum, anus, larynx, lung, soft tissue, female breast, cervix, endometrial, prostate, testes, eye and orbit, brain and CNS, and thyroid). The cohort we studied was composed of patients aged 20 years or older who were diagnosed with a first primary invasive solid cancer reported in the SEER registries between Jan 1, 1973, and Dec 31, 2002. Relative risks (RRs) for second cancer in patients treated with radiotherapy versus patients not treated with radiotherapy were estimated with Poisson regression adjusted for age, stage, and other potential confounders., FINDINGS: 647,672 cancer patients who were 5-year survivors were followed up for a mean 12 years (SD 4.5, range 5-34); 60,271 (9%) developed a second solid cancer. For each of the first cancer sites the RR of developing a second cancer associated with radiotherapy exceeded 1, and varied from 1.08 (95% CI 0.79-1.46) after cancers of the eye and orbit to 1.43 (1.13-1.84) after cancer of the testes. In general, the RR was highest for organs that typically received greater than 5 Gy, decreased with increasing age at diagnosis, and increased with time since diagnosis. We estimated a total of 3266 (2862-3670) excess second solid cancers that could be related to radiotherapy, that is 8% (7-9) of the total in all radiotherapy patients (>=1 year survivors) and five excess cancers per 1000 patients treated with radiotherapy by 15 years after diagnosis., INTERPRETATION: A relatively small proportion of second cancers are related to radiotherapy in adults, suggesting that most are due to other factors, such as lifestyle or genetics., FUNDING: US National Cancer Institute. Copyright © 2011 Elsevier Ltd. All rights reserved.",2011,/,The Lancet. Oncology,12,4,353-60,,https://dx.doi.org/10.1016/S1470-2045(11)70061-4,21454129,#2916,BerringtondeGonzalez 2011,,
Higher Than Expected Association of Clinical Prostate and Bladder Cancers,Singh A.; Kinoshita Y.; Rovito Jr. P.M.; Landas S.; Silberstein J.; Nsouli I.; Wang C.Y.; Haas G.P. ,"Purpose: In this study we evaluated the risk of a second malignancy of the bladder or prostate in patients with a previous diagnosis of prostate cancer (PCa) or urothelial cancer (TCC). Material(s) and Method(s): We retrospectively analyzed all cases of PCa and TCC diagnosed between January 1996 and June 2003. Only PCa diagnosed due to abnormal digital rectal examination or increased prostate specific antigen were included. All patients with TCC presented with hematuria or irritative voiding symptoms and the diagnoses were confirmed with a tissue diagnosis. The incidence of lung, colon and renal cancers was also analyzed. Result(s): A total of 816 men were diagnosed with PCa and/or TCC. Of 673 men initially diagnosed with PCa 21 had TCC. Of 149 men initially diagnosed with TCC 18 had PCa. Average age at PCa and TCC diagnosis +/- SD was 68.2 +/- 7.9 and 68.2 +/- 10.4 years, respectively. The standardized incidence ratio (SIR) of TCC in patients with PCa (SIR 4.31, 95% CI 2.411 to 7.110) and of PCa in patients with TCC (SIR 3.83, 95% CI 1.911 to 6.858) was significantly increased. There was no statistical significant difference in SIR for TCC in men with or without radiotherapy. SIR for lung, renal or colon cancer was not significantly different from what was expected. Conclusion(s): Patients with PCa have higher incidence of bladder cancer and those with bladder cancer have a higher incidence of PCa. This study has clinical implications in the care of these patients and it may stimulate research interest that may identify common pathways of carcinogenesis. © 2008 American Urological Association.",2008,/,Journal of Urology,179,5 SUPPL.,S2-S5,,https://dx.doi.org/10.1016/j.juro.2008.03.130,351483910,#5231,Singh 2008,,
Surgery for rectal cancer after high-dose radiotherapy for prostate cancer: is sphincter preservation relevant?.,"Buscail, E; Blondeau, V; Adam, J-P; Pontallier, A; Laurent, C; Rullier, E; Denost, Q","AIM: The feasibility and outcome of sphincter-saving resection for rectal cancer were assessed in patients previously treated by high-dose radiotherapy for prostate cancer., METHOD: Between 2000 and 2012, 1066 patients underwent rectal excision for rectal cancer. Of these, 236 were treated by conventional radiotherapy (45 Gy) and sphincter-saving resection (Group A) and 12 were treated by external-beam radiotherapy (EBRT) for prostate cancer (70 Gy) and sphincter-saving resection (Group B) of whom five had a metachronous and seven a synchronous cancer. The end-points were surgical morbidity, pelvic sepsis, reoperation and definitive stoma., RESULTS: Tumour characteristics were similar in both groups. Surgical morbidity (67% vs 25%, P = 0.004), anastomotic leakage (50% vs 10%, P = 0.001, and reoperation (50% vs 17%, P = 0.011) were significantly higher in Group B. Multivariate analyses showed that EBRT for prostate cancer was the only independent factor for anastomotic leakage (OR = 5.12; 95% CI 1.45-18.08; P = 0.011) and definitive stoma (OR = 10.56; 95% CI 3.02-39.92; P < 0.001)., CONCLUSION: High-dose radiotherapy for prostate cancer increases morbidity from rectal surgery and the risk of a permanent stoma. This suggests that a delayed coloanal anastomosis or a Hartmann procedure should be proposed as an alternative to low anterior resection in this population. Copyright Colorectal Disease © 2015 The Association of Coloproctology of Great Britain and Ireland.",2015,/,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,17,11,973-9,,https://dx.doi.org/10.1111/codi.12962,25824545,#2710,Buscail 2015,,
Incidence of primary cancers and intracranial tumour recurrences in GH-treated and untreated adult hypopituitary patients: analyses from the Hypopituitary Control and Complications Study.,"Child, Christopher J; Conroy, Daniel; Zimmermann, Alan G; Woodmansee, Whitney W; Erfurth, Eva Marie; Robison, Leslie L","OBJECTIVE: Speculation remains that GH treatment is associated with increased neoplasia risk. Studies in GH-treated childhood cancer survivors suggested higher rates of second neoplasms, while cancer risk data for GH-treated and untreated hypopituitary adults have been variable. We present primary cancer risk data from the Hypopituitary Control and Complications Study (HypoCCS) with a focus on specific cancers, and assessment of recurrence rates for pituitary adenomas (PA) and craniopharyngiomas (CP)., DESIGN: Incident neoplasms during HypoCCS were evaluated in 8418 GH-treated vs 1268 untreated patients for primary malignancies, 3668 GH-treated vs 720 untreated patients with PA history, and 956 GH-treated vs 102 untreated patients with CP history., METHODS: Using population cancer rates, standardised incidence ratios (SIRs) were calculated for all primary cancers, breast, prostate, and colorectal cancers. Neoplasm rates in GH-treated vs untreated patients were analysed after propensity score adjustment of baseline treatment group imbalances., RESULTS: During mean follow-up of 4.8 years, 225 primary cancers were identified in GH-treated patients, with SIR of 0.82 (95% CI 0.71-0.93). SIRs (95% CI) for GH-treated patients were 0.59 (0.36-0.90) for breast, 0.80 (0.57-1.10) for prostate, and 0.62 (0.38-0.96) for colorectal cancers. Cancer risk was not statistically different between GH-treated and untreated patients (relative risk (RR)=1.00 (95% CI 0.70-1.41), P=0.98). Adjusted RR for recurrence was 0.91 (0.68-1.22), P=0.53 for PA and 1.32 (0.53-3.31), P=0.55 for CP., CONCLUSIONS: There was no increased risk for all-site cancers: breast, prostate or colorectal primary cancers in GH-treated patients during HypoCCS. GH treatment did not increase the risk of PA and CP recurrences. Copyright © 2015 European Society of Endocrinology.",2015,/,European journal of endocrinology,172,6,779-90,,https://dx.doi.org/10.1530/EJE-14-1123,25810462,#2711,Child 2015,,
Fifteen-year Outcomes Following Conservative Management Among Men Aged 65 Years or Older with Localized Prostate Cancer.,"Lu-Yao, Grace L; Albertsen, Peter C; Moore, Dirk F; Lin, Yong; DiPaola, Robert S; Yao, Siu-Long","BACKGROUND: To understand the threat posed by localized prostate cancer and the potential impact of surgery or radiation, patients and healthcare providers require information on long-term outcomes following conservative management., OBJECTIVE: To describe 15-yr survival outcomes and cancer therapy utilization among men 65 years and older managed conservatively for newly diagnosed localized prostate cancer., DESIGN, SETTINGS, AND PARTICIPANTS: This is a population-based cohort study with participants living in predefined geographic areas covered by the Surveillance, Epidemiology, and End Results program. The study includes 31 137 Medicare patients aged >=65 yr diagnosed with localized prostate cancer in 1992-2009 who initially received conservative management (no surgery, radiotherapy, cryotherapy, or androgen deprivation therapy [ADT]). All patients were followed until death or December 31, 2009 (for prostate cancer-specific mortality [PCSM]) and December 31, 2011 (for overall mortality)., OUTCOME MEASUREMENTS AND STATISTICAL ANALYSIS: Competing-risk analyses were used to examine PCSM, overall mortality, and utilization of cancer therapies., RESULTS AND LIMITATIONS: The 15-yr risk of PCSM for men aged 65-74 yr diagnosed with screening-detected prostate cancer was 5.7% (95% confidence interval [CI] 3.7-8.0%) for T1c Gleason 5-7 and 22% (95% CI 16-35%) for Gleason 8-10 disease. After 15 yr of follow-up, 24% (95% CI 21-27%) of men aged 65-74 yr with screening-detected Gleason 5-7 cancer received ADT. The corresponding result for men with Gleason 8-10 cancer was 38% (95% CI 32-44%). The major study limitations are the lack of data for men aged <65 yr and detailed clinical information associated with secondary cancer therapy., CONCLUSIONS: The 15-yr outcomes following conservative management of newly diagnosed Gleason 5-7 prostate cancer among men aged >=65 yr are excellent. Men with Gleason 8-10 disease managed conservatively face a significant risk of PCSM., PATIENT SUMMARY: We examined the long-term survival outcomes for a large group of patients diagnosed with localized prostate cancer who did not have surgery, radiotherapy, cryotherapy, or androgen deprivation therapy in the first 6 mo after cancer diagnosis. We found that the 15-yr disease-specific survival is excellent for men diagnosed with Gleason 5-7 disease. The data support conservative management as a reasonable choice for elderly patients with low-grade localized prostate cancer. Copyright © 2015 European Association of Urology. Published by Elsevier B.V. All rights reserved.",2015,/,European urology,68,5,805-11,,https://dx.doi.org/10.1016/j.eururo.2015.03.021,25800944,#2712,Lu-Yao 2015,,
Androgen pathway manipulation and survival in patients with lung cancer.,"Harlos, Craig; Musto, Grace; Lambert, Pascal; Ahmed, Rashid; Pitz, Marshall W","The epidemiology of lung cancer differs between men and women. The role of androgens in lung cancer remains unclear. This study was performed to determine if exposure to androgen pathway manipulation (APM) is associated with greater survival in male patients diagnosed with lung cancer. Using a retrospective cohort design, all men diagnosed with lung cancer from January 1, 2004 to December 31, 2010 were identified from the population-based Manitoba Cancer Registry and Manitoba Health Administrative Databases. Information from the Drug Program Information Network (DPIN) was used to determine prescriptions filled for antiandrogens, 5-alpha reductase inhibitors, and gonadotropin-releasing hormone (GnRH) agonists. Multivariable Cox proportional hazards analysis with time-varying exposure variables was used to compare survival. A total of 3018 men with lung cancer were identified between 2004 and 2010. Of these, 339 (11.5%) were identified as having used a form of APM. The majority of patients received 5-alpha reductase inhibitors. Patients who received APM prior to the diagnosis of lung cancer had no significant difference in survival (HR 0.97, p = 0.69) compared to those who did not. Patients exposed to APM after their diagnosis were found to have a significantly better survival (HR 0.36, p = 0.0007), as were those exposed both before and after diagnosis (HR 0.53, p < 0.0001). In male patients diagnosed with lung cancer, exposure to APM is associated with significantly better survival when compared with no exposure. The association is only seen when some or all of the exposure has occurred after the diagnosis of lung cancer.",2015,/,Hormones & cancer,6,03-Feb,120-7,,https://dx.doi.org/10.1007/s12672-015-0218-1,25792547,#2713,Harlos 2015,,
Development and validation of risk prediction algorithms to estimate future risk of common cancers in men and women: prospective cohort study.,"Hippisley-Cox, Julia; Coupland, Carol","OBJECTIVE: To derive and validate a set of clinical risk prediction algorithm to estimate the 10-year risk of 11 common cancers., DESIGN: Prospective open cohort study using routinely collected data from 753 QResearch general practices in England. We used 565 practices to develop the scores and 188 for validation., SUBJECTS: 4.96 million patients aged 25-84 years in the derivation cohort; 1.64 million in the validation cohort. Patients were free of the relevant cancer at baseline., METHODS: Cox proportional hazards models in the derivation cohort to derive 10-year risk algorithms. Risk factors considered included age, ethnicity, deprivation, body mass index, smoking, alcohol, previous cancer diagnoses, family history of cancer, relevant comorbidities and medication. Measures of calibration and discrimination in the validation cohort., OUTCOMES: Incident cases of blood, breast, bowel, gastro-oesophageal, lung, oral, ovarian, pancreas, prostate, renal tract and uterine cancers. Cancers were recorded on any one of four linked data sources (general practitioner (GP), mortality, hospital or cancer records)., RESULTS: We identified 228,241 incident cases during follow-up of the 11 types of cancer. Of these 25,444 were blood; 41,315 breast; 32,626 bowel, 12,808 gastro-oesophageal; 32,187 lung; 4811 oral; 6635 ovarian; 7119 pancreatic; 35,256 prostate; 23,091 renal tract; 6949 uterine cancers. The lung cancer algorithm had the best performance with an R(2) of 64.2%; D statistic of 2.74; receiver operating characteristic curve statistic of 0.91 in women. The sensitivity for the top 10% of women at highest risk of lung cancer was 67%. Performance of the algorithms in men was very similar to that for women., CONCLUSIONS: We have developed and validated a prediction models to quantify absolute risk of 11 common cancers. They can be used to identify patients at high risk of cancers for prevention or further assessment. The algorithms could be integrated into clinical computer systems and used to identify high-risk patients., WEB CALCULATOR: There is a simple web calculator to implement the Qcancer 10 year risk algorithm together with the open source software for download (available at http://qcancer.org/10yr/). Copyright Published by the BMJ Publishing Group Limited. For permission to use (where not already granted under a licence) please go to http://group.bmj.com/group/rights-licensing/permissions.",2015,/,BMJ open,5,3,e007825,,https://dx.doi.org/10.1136/bmjopen-2015-007825,25783428,#2714,Hippisley-Cox 2015,,
Multiple primary malignancies in patients with non-small cell lung cancer.,"Fujita, Shiro; Masago, Katsuhiro; Takeshita, Jumpei; Togashi, Yosuke; Hata, Akito; Kaji, Reiko; Kokubo, Masaki; Katakami, Nobuyuki","OBJECTIVE: Information regarding multiple primary malignancies is important, as it has the potential to clarify etiological factors and may indicate the need to refine patient follow-up to include screening for associated malignancies. Upper aerodigestive tract cancer often develops in patients with smoking-related lung cancer; however, little is known about the frequencies or types of other primary malignancies in patients with non-small cell lung cancer (NSCLC) without a history of smoking., METHODS: We retrospectively evaluated the records of patients examined and/or treated for NSCLC at the Institute of Biomedical Research and Innovation between January 2007 and June 2012. Patients In total, 938 patients, including 599 men (never-smoker/ever-smoker: 35/564) and 339 women (never-smoker/ever-smoker: 236/103), were analyzed., RESULTS: Among the 209 patients (22.3%) with multiple primary malignancies, 151 had a history of smoking and 58 were never-smokers. The most common cancers were gastric (43 cases), colorectal (33 cases), and prostate (29 cases) cancer. Smoking-related cancer was more common in current smokers and ex-smokers for both men and women. Among women with NSCLC, never-smokers were more likely to have thyroid cancer than those with a history of smoking (5.1% vs. 0%, p=0.021)., CONCLUSION: In this study, several differences in malignancies were observed between never-smokers and patients with a history of smoking. Thyroid cancer and NSCLC co-existed in some women without a history of smoking, implicating predisposing factors other than tobacco smoke in the onset of these cancers.",2015,/,"Internal medicine (Tokyo, Japan)",54,3,325-31,,https://dx.doi.org/10.2169/internalmedicine.54.2921,25748742,#2715,Fujita 2015,,
"Complications after radical prostatectomy or radiotherapy for prostate cancer: results of a population-based, propensity score-matched analysis.","Wallis, Christopher J D; Herschorn, Sender; Saskin, Refik; Su, Jiandong; Klotz, Laurence H; Chang, Michelle; Kulkarni, Girish S; Lee, Yuna; Kodama, Ronald T; Narod, Steven A; Nam, Robert K","OBJECTIVE: To assess rates of treatment-related complications after radical prostatectomy or radiotherapy monotherapy, using propensity score matching to account for baseline differences between these patient populations., METHODS: On the basis of a population-based study of men undergoing surgery or radiotherapy for prostate cancer in Ontario between 2002 and 2009, we undertook a propensity score-matched analysis including age, comorbidity, and year of treatment to assess treatment-related complication end points. These included hospital admission; urologic, rectal, or anal procedures; open surgeries; and secondary malignancies., RESULTS: From the original cohort of 32,465 patients, 15,870 (48.9%) had surgery and 16,595 (51.1%) had radiation. Propensity score matching produced 8797 pairs (17,594 patients). Among these, when compared with patients treated with surgery, those treated with radiation experienced fewer admissions to hospital (hazard ratio [HR], 0.85; 95% confidence interval [CI], 0.78-0.92) and urologic procedures (HR, 0.50; 95% CI, 0.46-0.53) at year 1 but higher rates at year 3 (HR, 5.65; 95% CI, 4.61-6.91 and HR, 1.86; 95% CI, 1.62-2.13, respectively) and year 5. Although there was no significant difference in open surgeries at year 1, patients undergoing radiotherapy were at higher risk by year 3 (HR, 2.06; 95% CI, 1.23-3.47) and this rose by year 5. Over the study period, patients undergoing radiotherapy experienced more rectal-anal procedures (HR, 2.64; 95% CI, 2.37-2.95) and were diagnosed with more secondary malignancies (HR, 2.44; 95% CI, 1.16-5.14). Direct matching produced similar results., CONCLUSION: From a propensity score-matched analysis, we found that patients undergoing radiation therapy for prostate cancer had higher rates of long-term complications in all 5 categories studied than patients undergoing surgery. Copyright © 2015 Elsevier Inc. All rights reserved.",2015,/,Urology,85,3,621-7,,https://dx.doi.org/10.1016/j.urology.2014.11.037,25733275,#2716,Wallis 2015,,
Analysis of the genetic phylogeny of multifocal prostate cancer identifies multiple independent clonal expansions in neoplastic and morphologically normal prostate tissue.,"Cooper, Colin S; Eeles, Rosalind; Wedge, David C; Van Loo, Peter; Gundem, Gunes; Alexandrov, Ludmil B; Kremeyer, Barbara; Butler, Adam; Lynch, Andrew G; Camacho, Niedzica; Massie, Charlie E; Kay, Jonathan; Luxton, Hayley J; Edwards, Sandra; Kote-Jarai, ZSofia; Dennis, Nening; Merson, Sue; Leongamornlert, Daniel; Zamora, Jorge; Corbishley, Cathy; Thomas, Sarah; Nik-Zainal, Serena; O'Meara, Sarah; Matthews, Lucy; Clark, Jeremy; Hurst, Rachel; Mithen, Richard; Bristow, Robert G; Boutros, Paul C; Fraser, Michael; Cooke, Susanna; Raine, Keiran; Jones, David; Menzies, Andrew; Stebbings, Lucy; Hinton, Jon; Teague, Jon; McLaren, Stuart; Mudie, Laura; Hardy, Claire; Anderson, Elizabeth; Joseph, Olivia; Goody, Victoria; Robinson, Ben; Maddison, Mark; Gamble, Stephen; Greenman, Christopher; Berney, Dan; Hazell, Steven; Livni, Naomi; Fisher, Cyril; Ogden, Christopher; Kumar, Pardeep; Thompson, Alan; Woodhouse, Christopher; Nicol, David; Mayer, Erik; Dudderidge, Tim; Shah, Nimish C; Gnanapragasam, Vincent; Voet, Thierry; Campbell, Peter; Futreal, Andrew; Easton, Douglas; Warren, Anne Y; Foster, Christopher S; Stratton, Michael R; Whitaker, Hayley C; McDermott, Ultan; Brewer, Daniel S; Neal, David E","Genome-wide DNA sequencing was used to decrypt the phylogeny of multiple samples from distinct areas of cancer and morphologically normal tissue taken from the prostates of three men. Mutations were present at high levels in morphologically normal tissue distant from the cancer, reflecting clonal expansions, and the underlying mutational processes at work in morphologically normal tissue were also at work in cancer. Our observations demonstrate the existence of ongoing abnormal mutational processes, consistent with field effects, underlying carcinogenesis. This mechanism gives rise to extensive branching evolution and cancer clone mixing, as exemplified by the coexistence of multiple cancer lineages harboring distinct ERG fusions within a single cancer nodule. Subsets of mutations were shared either by morphologically normal and malignant tissues or between different ERG lineages, indicating earlier or separate clonal cell expansions. Our observations inform on the origin of multifocal disease and have implications for prostate cancer therapy in individual cases.",2015,/,Nature genetics,47,4,367-372,,https://dx.doi.org/10.1038/ng.3221,25730763,#2717,Cooper 2015,,
